酒店名称,fishtrip_id,mddid_old,mddid_get,poiid_get,国家
苗栗云洞山庄,KnGAy2qh3uM,25327,25327,6492860,台湾
苗栗松鹤民宿,72aIhCv97hk,25327,25327,8085449,台湾
峰州小木屋,MwZndZOVWUk,25327,25327,8286088,台湾
金湖湾民宿,8vbBbh5GO68,58690,58690,8286768,台湾
台南安平老街民宿,IRZd4yADEko,11064,11064,8283408,台湾
台南大员雅舍,P5-0kE6dgho,11064,11064,8283911,台湾
慢慢宅/幸福宅,SQ4HQcmbhAs,11064,11064,8283565,台湾
台南福憩客栈,LhbBju_WVyI,11064,11064,6103442,台湾
台南杰克屋一馆,kINP66JBHnk,11064,11064,7381581,台湾
跳房子民宿,kUX6BuDKj7U,11064,11064,6143299,台湾
罗马假期(市政馆),yA_7HANj_4A,11064,11042,8283815,台湾
说故事台南民宿,z8bfJDRpU8E,11064,11042,8283029,台湾
台湾诗路民宿,zypWzrDwCak,11064,11064,6494130,台湾
欧悦时尚汽车旅馆新营馆,OztN43ehqwQ,11064,75906,7006228,台湾
安平左岸121,JOc4Ak2jU4E,11064,11064,8282671,台湾
台南迪利小屋,ZClofyVk30M,11064,11065,7373973,台湾
欧悦时尚汽车旅馆桃园馆,XBiyRSeIt2g,58705,11042,7006221,台湾
爱丽丝花园民宿,696Na2soaOE,25340,25340,8282443,台湾
台东龙星花园度假木屋民宿,0rqmWnB2NOU,25340,,,台湾
乐活美学民宿,oO6sfLXogmI,25340,11065,92352,台湾
台东旭缘咖啡民宿,_sOjEtjBn6A,25340,11065,6494450,台湾
享巷Space民宿,9EbbFtsmefQ,25340,,,台湾
企鹅堡民宿,-Vccmyzz9Yc,25340,,,台湾
换鹅山房民宿,VFGJWk-OzNg,25340,11065,8286480,台湾
台东凤凰步道民宿,G6dzFdPDKws,25340,10222,6096960,台湾
台东狗窝民宿,cde6Z49HMDw,25340,25340,8283668,台湾
台东宝莉的家,5g9LWBSA0Pc,25340,25340,8285369,台湾
台东旅游民宿,WhNpuIgKztA,25340,15325,6103660,台湾
台东悠闲居,pp27Yh_8JIw,25340,25340,7382758,台湾
台东邦乔诺民宿,YARzEn4Sl74,25340,25340,8282881,台湾
关山隼民宿,X7DE96kt_SI,25340,10222,8286537,台湾
台东梦想家民宿,yAygBE680Gw,10068,10222,8282886,台湾
感觉台东民宿,Qq8tV1sInzM,25340,25340,8375768,台湾
台东新站48号,MheG33tWFbs,25340,25340,8282833,台湾
台东8号客栈,UEJKOTP3598,25340,25340,8283639,台湾
世外桃园温馨别墅,TJ41fuCiWpo,25340,25340,8286570,台湾
台东旅行家商务会馆,uyaDzottwwM,25340,25340,8284698,台湾
台东贝_合民宿,Y8xsAMm_RDw,25340,25340,8284475,台湾
嘉义兰后民宿,rlURH5Vethk,10044,22346,8085435,台湾
嘉义梅花山庄,vRHq0brQddk,22346,10222,7039512,台湾
闲云居民宿,ir_s8wt4fpk,10044,10222,8282680,台湾
船仔头ㄟ厝,APYWuFHkMck,22346,22346,8282786,台湾
